scenario,arm,p50_s,p95_s,min_s,max_s,cv_pct,speedup_vs_python,rtf,peak_rss_mib,pcm16_max_lsb,deterministic,samples
Text only,Python fp32 (run 1),24.696076,25.247183,23.398617,25.277654,2.748,1.0000,5.5125,5134.1,,True,23.3986 24.6961 24.2859 25.2777 25.1253
Text only,C fp32 (torch-MKL AVX2),12.558141,12.838650,12.349141,12.891213,1.505,1.9665,2.8032,2617.4,21,True,12.3491 12.4168 12.5581 12.6284 12.8912
Caption only,Python fp32 (run 1),29.412756,29.682473,28.767292,29.694131,1.121,1.0000,6.2848,4923.4,,True,28.7673 29.3330 29.6358 29.4128 29.6941
Caption only,C fp32 (torch-MKL AVX2),16.260087,16.417071,15.905825,16.439856,1.112,1.8089,3.4744,2687.0,6,True,16.1662 15.9058 16.3259 16.2601 16.4399
Clone + caption,Python fp32 (run 1),41.138864,42.209985,40.517587,42.443252,1.623,1.0000,8.8661,5545.1,,True,40.5176 42.4433 40.7318 41.1389 41.2769
Clone + caption,C fp32 (torch-MKL AVX2),24.524128,24.622102,24.304260,24.625228,0.536,1.6775,5.2854,3134.0,58,True,24.3043 24.6096 24.6252 24.5241 24.3557
Text only,Python fp32 (run 2),25.390695,25.642670,24.421160,25.653312,1.795,1.0000,5.6676,5127.1,,True,24.4212 25.0587 25.3907 25.6001 25.6533
Text only,C int8 DiT (oneMKL VNNI),8.223840,8.363014,7.904526,8.386101,1.970,3.0875,1.8357,1814.3,34908,True,7.9045 8.1393 8.2238 8.2707 8.3861
Caption only,Python fp32 (run 2),29.643114,29.802731,29.223497,29.838131,0.695,1.0000,6.3340,5061.5,,True,29.6611 29.4946 29.2235 29.8381 29.6431
Caption only,C int8 DiT (oneMKL VNNI),9.689932,9.833426,9.516231,9.863209,1.348,3.0592,2.0705,1884.3,42152,True,9.5219 9.5162 9.7143 9.6899 9.8632
Clone + caption,Python fp32 (run 2),41.116690,41.442215,40.942391,41.443309,0.497,1.0000,8.8614,5551.9,,True,40.9424 41.4433 41.0578 41.1167 41.4378
Clone + caption,C int8 DiT (oneMKL VNNI),15.947417,16.221828,15.543352,16.280509,1.545,2.5783,3.4369,2314.9,35801,True,15.7585 15.9871 16.2805 15.9474 15.5434
Text only,Python fp32 (run 3),25.091812,25.412325,24.155430,25.413783,1.843,1.0000,5.6009,4983.0,,True,24.1554 24.9401 25.0918 25.4138 25.4065
Text only,C int8 DiT+codec,5.509581,5.586316,5.393618,5.601255,1.419,4.5542,1.2298,1610.2,34847,True,5.4066 5.3936 5.5096 5.5266 5.6013
Caption only,Python fp32 (run 3),29.109481,29.148430,28.982681,29.156943,0.235,1.0000,6.2200,5058.8,,True,29.1095 29.1144 29.1569 29.0014 28.9827
Caption only,C int8 DiT+codec,7.215319,7.260322,7.128577,7.264967,0.651,4.0344,1.5417,1683.5,42068,True,7.2153 7.1286 7.2417 7.1918 7.2650
Clone + caption,Python fp32 (run 3),40.459569,40.941231,40.345153,41.006710,0.606,1.0000,8.7197,5504.9,,True,40.4596 40.3452 40.3786 40.6793 41.0067
Clone + caption,C int8 DiT+codec,12.637073,12.718037,12.527050,12.737340,0.542,3.2017,2.7235,2124.0,38709,True,12.6408 12.5271 12.6371 12.5957 12.7373
